Entry Name,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
RM32_YEAST,1,2,3
YCP4_YEAST,1,2,7
NPP1_YEAST,2,3,1
SNT1_YEAST,6,1,6
ELO2_YEAST,8,1,2
RRP43_YEAST,15,1,7
HCM1_YEAST,6,5,4
RRP7_YEAST,5,1,6
LSB5_YEAST,4,0,4
GLRX1_YEAST,1,3,2
NFS1_YEAST,6,4,5
PRTD_YEAST,2,2,5
AGP1_YEAST,4,3,3
ADH7_YEAST,1,4,0
RHEB_YEAST,2,4,2
NLE1_YEAST,2,0,1
YC21B_YEAST,5,8,2
BOS1_YEAST,4,2,7
USO1_YEAST,6,0,6
KCC4_YEAST,5,8,7
SSK22_YEAST,3,5,1
RPC4_YEAST,4,1,3
RS2_YEAST,5,2,6
PSB3_YEAST,2,1,4
DMC1_YEAST,9,8,2
RAD51_YEAST,15,9,4
MAS5_YEAST,13,6,6
PUT3_YEAST,5,4,1
VATL1_YEAST,9,2,6
SGF29_YEAST,5,1,4
GBP2_YEAST,3,3,6
MGR1_YEAST,3,1,3
EMC1_YEAST,4,0,2
POF1_YEAST,4,3,2
PBN1_YEAST,5,1,3
SPB1_YEAST,3,3,3
MET14_YEAST,4,2,4
KRR1_YEAST,4,1,5
MRC1_YEAST,15,1,5
VAC17_YEAST,1,1,2
STP22_YEAST,8,1,5
ILV6_YEAST,3,2,3
ADY2_YEAST,6,2,3
DPO4_YEAST,2,3,1
CWH43_YEAST,4,0,5
SYP1_YEAST,6,2,12
BUD23_YEAST,3,1,4
RSC6_YEAST,4,1,4
PWP2_YEAST,8,1,6
YIH1_YEAST,6,3,2
ATG15_YEAST,8,2,6
PAT1_YEAST,8,3,7
PDP2_YEAST,4,4,3
SRB8_YEAST,3,1,2
CSM1_YEAST,6,1,3
FIG2_YEAST,8,0,5
NOT1_YEAST,10,2,4
CDC50_YEAST,6,0,8
PCL2_YEAST,8,2,6
CDC48_YEAST,27,6,11
CYPC_YEAST,3,2,3
SPB4_YEAST,3,4,4
MSH1_YEAST,5,6,2
MSH2_YEAST,9,6,4
MGMT_YEAST,2,2,2
PDC6_YEAST,5,6,3
