Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
AFG1L_HUMAN,3,2,3
KMT5C_HUMAN,4,8,5
FAHD1_HUMAN,2,6,4
ERLN2_HUMAN,6,2,6
YD476_YEAST,0,0,1
YM086_YEAST,0,0,0
ACSM6_HUMAN,2,6,2
EMC1_HUMAN,2,0,4
TICRR_HUMAN,6,1,4
YIG0_YEAST,0,0,2
OR1D5_HUMAN,3,2,1
LYRM9_HUMAN,0,0,1
BSC1_YEAST,0,0,0
PPGB_HUMAN,5,3,8
TVBX1_HUMAN,2,0,2
CL060_HUMAN,0,0,0
TACC2_HUMAN,4,1,5
FCRL4_HUMAN,3,1,2
RS6_HUMAN,17,3,16
PTP2_YEAST,7,1,2
SP130_HUMAN,5,0,3
CP2AD_HUMAN,4,7,3
PP2AB_HUMAN,15,5,6
YPI1_YEAST,8,3,2
MLC1_YEAST,8,4,9
PHYD1_HUMAN,0,2,0
YD401_YEAST,0,0,1
EAA5_HUMAN,6,5,3
ALLC_HUMAN,1,1,0
SYK_HUMAN,9,7,8
ALR_HUMAN,9,4,4
YJN5_YEAST,0,0,0
ISK7_HUMAN,3,1,1
Z354C_HUMAN,3,4,4
SIX5_HUMAN,6,3,7
PUS1_YEAST,5,4,2
ERF1_YEAST,4,4,4
OTU2_YEAST,1,1,1
SYEM_HUMAN,2,5,2
CLIP1_HUMAN,4,5,11
PEBP1_HUMAN,2,6,3
NUDC1_HUMAN,1,0,2
RL6_HUMAN,4,4,10
YD247_YEAST,0,0,0
FNBP1_HUMAN,2,2,8
CG025_HUMAN,0,0,0
MSRB2_HUMAN,3,4,3
F90A7_HUMAN,0,0,0
SHRM3_HUMAN,6,1,6
LA_HUMAN,10,5,6
HME2_HUMAN,9,3,5
COQ7_YEAST,1,4,3
ISW2_YEAST,9,11,4
AEP2_YEAST,2,1,1
DDIAS_HUMAN,4,0,2
TNA1_YEAST,2,2,4
D19P1_HUMAN,0,1,1
CHD1L_HUMAN,3,8,6
MBD1_HUMAN,11,6,6
ZSC26_HUMAN,2,4,3
RM38_YEAST,1,2,3
MAAI_HUMAN,4,5,3
SRT1_YEAST,2,2,4
DCNL5_HUMAN,5,3,4
GATA5_HUMAN,14,6,3
VPS51_YEAST,7,0,4
CML2_HUMAN,3,4,4
ACM1_HUMAN,18,3,10
NT5D4_HUMAN,0,2,0
BPIB6_HUMAN,0,1,1
ROK1_YEAST,5,5,4
YPL14_YEAST,0,0,1
SCN2B_HUMAN,12,3,6
PES4_YEAST,4,3,5
RNF26_HUMAN,7,2,1
4F2_HUMAN,17,13,14
PROB_YEAST,4,3,2
TT21A_HUMAN,4,0,2
CENPE_HUMAN,14,4,16
DNA2_YEAST,10,15,5
NBA1_YEAST,3,0,6
ANR24_HUMAN,2,0,2
OR1A2_HUMAN,2,2,1
SLN12_HUMAN,2,2,2
TCL1A_HUMAN,1,3,3
AKIR1_HUMAN,7,1,4
PRP45_YEAST,1,0,4
RIPR2_HUMAN,21,1,6
UBP12_HUMAN,2,3,5
TA2R5_HUMAN,2,3,2
ZNAS2_HUMAN,0,0,0
PRIC3_HUMAN,1,1,2
COL12_HUMAN,8,5,6
PREY_HUMAN,1,0,2
TED1_YEAST,2,1,2
RBP2_HUMAN,10,6,14
ACBD7_HUMAN,1,1,0
PRR9_HUMAN,0,0,0
LCB5_YEAST,5,3,7
SNX1_HUMAN,5,9,14
CS012_HUMAN,4,0,4
R3HD4_HUMAN,0,1,1
FCAMR_HUMAN,1,0,1
HMGN5_HUMAN,6,3,4
SIA4B_HUMAN,13,4,4
LPE10_YEAST,1,1,1
TRAF2_HUMAN,32,17,12
CLD1_YEAST,4,2,2
FN3K_HUMAN,6,4,1
RAV1_YEAST,5,0,4
CENPO_YEAST,6,0,2
DCAF5_HUMAN,2,0,3
TVAL3_HUMAN,1,1,1
JUPI2_HUMAN,2,0,4
UBE2U_HUMAN,1,2,0
S41A3_HUMAN,1,1,2
YPR39_YEAST,0,0,1
KI2L1_HUMAN,3,1,1
NUD22_HUMAN,0,3,1
CLMP_HUMAN,2,0,4
PYRE_YEAST,4,1,2
SKP1_YEAST,26,2,8
GTF2I_HUMAN,3,5,4
KKLC1_HUMAN,0,0,2
NAA38_HUMAN,1,1,4
YO376_YEAST,0,0,0
SHB_HUMAN,9,2,4
COA3_YEAST,3,0,2
AHA1_YEAST,2,2,3
PITX3_HUMAN,16,3,2
CCD93_HUMAN,3,0,2
ARC_HUMAN,23,2,17
RB15B_HUMAN,6,2,5
NAL10_HUMAN,12,3,5
SPA24_HUMAN,2,2,6
AT5G1_HUMAN,1,2,4
ICA69_HUMAN,2,2,7
ERC6L_HUMAN,1,6,3
YI023_YEAST,0,0,1
SIR4_HUMAN,14,10,3
SNX32_HUMAN,3,1,2
ERP6_YEAST,3,1,7
ITM2B_HUMAN,2,2,11
TPM2_YEAST,5,3,4
IRF6_HUMAN,15,7,5
MTC4_YEAST,0,0,4
NOP9_HUMAN,4,1,3
CV042_HUMAN,0,0,0
TESK1_HUMAN,15,8,7
MBI4_YEAST,5,2,1
OR4F5_HUMAN,0,2,1
NDUF5_HUMAN,3,2,3
INSR2_HUMAN,0,1,1
PATZ1_HUMAN,10,6,3
PPM1A_HUMAN,16,6,5
NPL_HUMAN,2,2,1
IBP5_HUMAN,30,4,6
KRA49_HUMAN,1,0,2
NET1_HUMAN,19,2,6
PKR1_YEAST,1,0,2
FCY1_YEAST,4,3,2
CR2_HUMAN,10,7,5
CE295_HUMAN,7,1,7
YU008_HUMAN,0,0,0
PHF23_HUMAN,4,1,3
NUBP1_HUMAN,7,7,6
UBE3D_HUMAN,4,4,3
ATS3_HUMAN,9,4,4
NBEL1_HUMAN,1,1,2
TF3A_YEAST,2,6,2
TSPY2_HUMAN,4,2,3
INAM2_HUMAN,0,0,1
THOC7_HUMAN,3,1,8
F162B_HUMAN,0,0,1
ZN704_HUMAN,1,4,1
CX7A2_HUMAN,4,1,5
LSO2_YEAST,4,2,2
NMNA3_HUMAN,4,3,4
FZF1_YEAST,3,4,1
TM252_HUMAN,0,0,1
GASP3_HUMAN,5,1,3
INSRR_HUMAN,5,5,4
URAD_HUMAN,2,1,1
CTLA4_HUMAN,9,0,6
U17L8_HUMAN,2,1,3
RPB2_HUMAN,1,8,4
LGI3_HUMAN,2,0,4
OR2K2_HUMAN,1,2,1
P4HA3_HUMAN,0,3,2
ROY1_YEAST,2,1,4
MGR2_YEAST,2,0,3
RL24A_YEAST,3,3,2
PLD3_HUMAN,4,2,7
SBDS_HUMAN,8,4,6
YF052_YEAST,0,0,1
HERC5_HUMAN,9,4,3
HPTR_HUMAN,0,2,5
THI20_YEAST,4,4,1
PAX9_HUMAN,7,4,3
RPGFL_HUMAN,3,1,2
SKA3_HUMAN,11,1,8
NSP1_YEAST,8,2,6
WDR4_HUMAN,3,2,6
SRCH_HUMAN,12,3,4
PGRP2_HUMAN,9,4,3
YN67A_YEAST,0,0,0
ERG1_HUMAN,5,2,4
PLPL8_HUMAN,12,4,6
DGKH_HUMAN,8,6,6
LATS2_HUMAN,17,5,5
CYPH_YEAST,8,3,5
SSX8_HUMAN,1,0,1
SMC3_HUMAN,11,9,12
RPGF1_HUMAN,12,2,5
MSTRO_HUMAN,0,0,1
TFPI1_HUMAN,4,2,7
CRK_HUMAN,45,14,9
RPOM_YEAST,3,3,5
MAGD4_HUMAN,1,0,1
PDZD2_HUMAN,1,0,9
PRP24_YEAST,3,3,4
RGS19_HUMAN,5,2,5
WHAMM_HUMAN,7,4,6
CE162_HUMAN,1,0,7
RFIP1_HUMAN,3,1,4
SAV1_HUMAN,17,4,3
YIPF1_HUMAN,1,1,8
ZN277_HUMAN,2,2,1
M4A13_HUMAN,1,0,1
TM207_HUMAN,0,0,1
SSAS1_HUMAN,0,0,1
RCR1_YEAST,4,1,3
TBC26_HUMAN,0,1,0
NAA50_HUMAN,4,4,6
RPH3L_HUMAN,8,3,4
MRX7_YEAST,0,0,1
DRD5_HUMAN,25,4,6
JHD2C_HUMAN,3,6,3
SPT3_YEAST,5,2,4
CDIPT_HUMAN,1,2,4
RMD9L_YEAST,1,1,5
ITFG2_HUMAN,5,0,6
DECR2_HUMAN,3,2,3
SYVC_HUMAN,2,3,1
CAF17_YEAST,3,1,2
KLC4_HUMAN,1,1,3
NBPF8_HUMAN,0,0,1
ZN75C_HUMAN,1,3,1
SPT7_YEAST,4,2,4
GCN4_YEAST,13,10,3
OSBL3_HUMAN,1,2,7
ACHA4_HUMAN,20,4,9
