Protein,Gene Ontology (biological process) Count,Gene Ontology (molecular function) Count,Gene Ontology (cellular component) Count
D3Z6Q4_MOUSE,27,5,1
SPXN_MOUSE,6,3,3
GLSK_MOUSE,7,2,3
NSMA5_MOUSE,3,2,5
D6RFA9_MOUSE,0,2,1
D6RFN1_MOUSE,40,0,8
D6RHQ2_MOUSE,0,2,1
G6B_MOUSE,7,0,5
E0CXC2_MOUSE,6,6,5
NT8F7_MOUSE,0,18,2
KLHL3_MOUSE,12,3,3
CNGB1_MOUSE,17,8,6
MTCL2_MOUSE,5,0,4
PIEZ1_MOUSE,6,4,7
E7FJU2_MOUSE,9,16,5
PRRT2_MOUSE,5,2,12
NRX2B_MOUSE,6,2,4
E9PUN6_MOUSE,9,4,4
DGKD_MOUSE,10,7,4
FIBA_MOUSE,5,2,4
TALD3_MOUSE,3,0,5
GCN1_MOUSE,5,3,3
E9PVB6_MOUSE,0,22,3
PCD16_MOUSE,23,1,2
E9PVD7_MOUSE,0,11,5
E9PVU6_MOUSE,2,17,3
KI67_MOUSE,9,4,5
E9PVY0_MOUSE,1,23,2
E9PWL1_MOUSE,6,3,3
E9PX29_MOUSE,18,6,13
E9PX67_MOUSE,2,17,3
ABCAH_MOUSE,2,3,2
MTMRD_MOUSE,1,5,5
E9PXU2_MOUSE,22,7,8
E9PXV8_MOUSE,2,17,3
IF140_MOUSE,16,0,9
GP179_MOUSE,3,1,4
SET1A_MOUSE,11,4,6
ZN568_MOUSE,7,3,1
PARP4_MOUSE,2,8,6
E9PYV8_MOUSE,15,4,3
E9PYW4_MOUSE,8,6,4
DNAI4_MOUSE,3,0,4
TUTLB_MOUSE,4,1,6
PKHD1_MOUSE,19,0,12
E9PZ97_MOUSE,16,17,7
E9PZC2_MOUSE,18,3,10
E9PZI6_MOUSE,3,6,6
ASCC3_MOUSE,5,13,6
CHD2_MOUSE,4,13,1
RYR1_MOUSE,13,8,10
PRD13_MOUSE,5,5,1
PTPRH_MOUSE,1,3,4
TENS1_MOUSE,2,3,5
MRP4_MOUSE,11,13,7
KANK1_MOUSE,15,2,3
